sector,price,bedRoom,bathroom,balcony,floorNum,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,property_type_house,agePossession_New Property,agePossession_Old Property,agePossession_Relatively New,agePossession_Under Construction,luxury_score_Low,luxury_score_Medium
54.0,3.25,3,3,3,0.0,2727.488151658768,0,0,1,0,0,1,False,False,True,False,False,False,True
111.0,0.6,2,2,3,9.0,841.2322274881517,0,0,0,0,0,0,False,True,False,False,False,False,True
95.0,0.27,2,2,0,1.0,1.9790441176470588,0,0,0,0,0,0,False,False,False,True,False,True,False
28.0,0.95,2,1,1,1.0,1266.5876777251185,0,0,0,0,0,0,False,False,True,False,False,False,True
65.0,2.65,2,2,3,4.0,1433.0,1,0,0,0,0,0,False,True,False,False,False,True,False
79.0,0.36,2,2,1,4.0,546.0,0,0,0,0,0,0,False,True,False,False,False,False,True
37.0,0.55,2,2,3,3.0,528.6343612334801,0,0,0,0,0,0,False,True,False,False,False,True,False
89.0,1.32,3,3,3,1.0,924.170616113744,0,0,0,0,0,0,False,False,False,False,True,True,False
99.0,0.59,2,2,3,1.0,1103.228622907489,0,0,0,0,1,0,False,False,False,False,True,False,True
4.0,0.45,2,2,1,5.0,1007.1090047393366,0,0,0,0,0,0,False,False,False,True,False,True,False
37.0,0.9,3,3,2,13.0,1185.0,0,0,0,0,0,2,False,False,False,True,False,True,False
79.0,1.4,2,2,2,4.0,1658.7677725118483,1,1,0,1,0,2,False,False,False,True,False,False,True
48.0,0.95,2,2,3,6.0,1.9790441176470588,1,0,0,0,0,1,False,True,False,False,False,True,False
65.0,3.0,3,3,3,20.0,1667.0,0,0,0,0,0,0,False,False,False,False,True,False,True
65.0,3.67,3,3,2,27.0,2040.0,0,1,0,0,0,0,False,False,False,False,True,True,False
82.0,3.85,5,6,3,6.0,6090.047393364929,0,1,1,0,0,0,False,True,False,False,False,False,True
65.0,3.29,3,3,3,33.0,1828.0,0,0,0,0,0,0,False,True,False,False,False,True,False
65.0,2.33,2,2,3,35.0,1111.0132158590309,0,0,0,0,0,1,False,False,False,False,True,True,False
65.0,2.79,3,3,3,26.0,1969.0,0,0,0,0,0,0,False,True,False,False,False,True,False
41.0,3.4,4,4,3,0.0,2900.0,0,0,0,0,0,0,False,False,False,True,False,True,False
12.0,0.72,2,2,1,2.0,1172.9857819905214,0,0,0,0,1,1,False,False,False,True,False,True,False
104.0,0.4,2,2,1,4.0,500.82956740088105,0,0,0,0,0,0,False,False,False,True,False,False,True
95.0,0.56,2,2,2,10.0,1201.7621145374449,0,0,0,0,0,1,False,False,False,True,False,False,True
71.0,1.1,3,3,3,11.0,1427.3127753303966,0,0,0,0,1,0,False,False,False,True,False,False,True
37.0,0.71,2,2,3,10.0,1100.0,0,0,0,0,1,0,False,True,False,False,False,True,False
79.0,0.78,2,2,3,0.0,1140.9691629955946,0,0,0,0,1,0,False,True,False,False,False,False,True
37.0,0.4,2,2,3,3.0,805.6872037914692,0,0,0,0,0,0,False,False,False,False,True,False,True
113.0,1.85,3,2,2,7.0,1391.1894273127753,0,0,0,0,0,0,False,True,False,False,False,True,False
102.0,1.1,2,2,1,8.0,795.5947136563876,0,0,0,0,0,0,False,False,False,False,True,False,True
61.0,1.41,2,2,2,2.0,1150.0,1,0,0,0,0,0,False,False,False,False,True,False,True
79.0,1.45,3,3,3,3.0,2304.5023696682465,0,0,0,0,0,0,False,False,False,True,False,True,False
61.0,2.2,3,3,2,1.0,1895.7345971563984,0,0,0,0,0,0,False,False,False,False,True,True,False
33.0,1.1,2,2,3,9.0,1100.0,0,0,0,0,0,1,False,False,False,False,False,True,False
102.0,2.05,3,4,3,14.0,2399.2890995260664,0,1,0,0,0,0,False,False,False,True,False,False,True
92.0,0.6,3,2,3,4.0,1421.8009478672986,0,0,0,0,0,1,False,False,False,False,False,True,False
89.0,0.8,2,3,3,8.0,1462.555066079295,1,0,0,0,1,0,False,False,False,False,True,False,True
84.0,0.41,2,2,2,10.0,565.0,0,0,0,0,0,1,False,True,False,False,False,True,False
73.0,0.9,3,3,3,3.0,1622.0,0,1,0,0,0,0,False,False,False,False,True,False,True
7.0,0.54,2,2,1,3.0,1066.350710900474,0,0,0,0,0,0,False,False,False,True,False,False,True
36.0,0.82,3,2,2,2.0,1.9790441176470588,0,0,0,0,0,0,False,True,False,False,False,True,False
71.0,1.0,3,3,3,3.0,1308.3700440528637,0,0,0,0,0,1,False,False,False,True,False,True,False
56.0,1.85,3,4,3,7.0,2428.909952606635,0,1,0,0,0,0,False,False,True,False,False,False,True
83.0,1.42,3,3,2,2.0,2103.0805687203792,0,0,0,0,0,1,False,False,False,True,False,False,True
37.0,0.55,2,2,3,3.0,610.0,0,0,0,0,0,0,False,True,False,False,False,False,True
65.0,2.29,2,2,3,8.0,1697.867298578199,1,0,0,0,0,0,False,False,False,False,True,True,False
102.0,0.97,2,2,2,12.0,1.9790441176470588,0,0,0,0,0,0,False,True,False,False,False,False,True
53.0,8.25,3,4,3,8.0,2590.308370044053,0,1,0,0,0,2,False,False,False,False,True,True,False
5.0,0.3,2,2,1,1.0,799.7630331753555,0,0,0,0,0,0,False,False,False,True,False,True,False
33.0,1.65,2,2,3,1.0,1363.744075829384,0,0,0,0,0,0,False,False,False,False,True,True,False
65.0,1.99,2,2,2,26.0,1110.1321585903083,0,0,0,0,0,0,False,False,False,False,True,True,False
68.0,1.0,2,2,3,21.0,947.8672985781992,0,0,0,0,0,0,False,False,False,True,False,True,False
62.0,4.25,3,3,3,8.0,1600.0,1,0,0,0,0,0,False,False,False,False,True,True,False
78.0,1.25,4,4,3,2.0,2300.0,0,1,1,0,1,0,False,False,False,True,False,False,True
83.0,0.95,3,3,3,1.0,1587.6777251184835,0,0,0,0,0,0,False,False,False,False,False,True,False
4.0,1.05,3,2,2,2.0,1599.526066350711,0,0,0,0,0,1,False,True,False,False,False,True,False
72.0,4.1,4,5,3,39.0,2559.4713656387667,0,1,0,0,1,0,False,True,False,False,False,False,True
90.0,0.5,2,2,2,1.0,848.3412322274881,0,0,0,0,0,0,False,False,False,False,True,True,False
